T,rho,rho_ci_lo,rho_ci_hi,ci_width,n_graphs,pairs_in_window,min_bucket_count,n_buckets_in_window,graphs_saturated,seconds
4,0.6080758273971907,0.523191908392175,0.6609896338356356,0.13779772544346058,5,1476,5,55,0,36.505210399627686
8,0.6170559363226175,0.5303425991702855,0.6673932590624674,0.1370506598921819,5,2943,16,55,0,136.62464833259583
16,0.6137659218519511,0.5392383313807949,0.661357648334546,0.12211931695375111,5,6144,30,55,0,448.80943179130554
32,0.6209614500603472,0.5494610384732564,0.6673603824764381,0.1178993440031817,5,12166,63,55,0,322.1108114719391
