T,rho,rho_ci_lo,rho_ci_hi,ci_width,n_graphs,pairs_in_window,min_bucket_count,n_buckets_in_window,graphs_saturated,seconds
4,0.5928971510050383,0.4971146881051594,0.6779778500949777,0.18086316198981828,5,1476,5,55,0,55.51638388633728
8,0.6066199677335609,0.5236106922138168,0.6782926326499943,0.15468194043617745,5,2943,16,55,0,151.02978920936584
16,0.6115037231377278,0.5410023460057936,0.6740327499180089,0.13303040391221532,5,6144,30,55,0,208.7432246208191
32,0.6166826697987969,0.55083176099419,0.67864134425323,0.12780958325904002,5,12166,63,55,0,447.8723392486572
