backbone,n_pes,spearman_r,p,p_exact
gps,4,-0.7999999999999999,0.3333333333333333,True
graphormer,5,0.9999999999999999,0.016666666666666666,True
san,5,-0.7999999999999999,0.13333333333333333,True
ALL (pooled),14,0.5296703296703297,0.05141659813787076,False
